Gene,Genotype(s),Therapeutic Area(s),Drug(s)
CYP2C9,*1/*1,BLOOD AND BLOOD FORMING ORGAN DRUGS,warfarin
CYP2C9,*1/*2,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","fosphenytoin, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, dronabinol, fluvastatin"
CYP2C9,*1/*3,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","lornoxicam, fosphenytoin, celecoxib, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, meloxicam, ibuprofen, tenoxicam, dronabinol, flurbiprofen, fluvastatin"
CYP2C9,*1/*4,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","fosphenytoin, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, dronabinol, fluvastatin"
CYP2C9,*1/*5,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","fosphenytoin, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, dronabinol, fluvastatin"
CYP2C9,*1/*6,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","lornoxicam, fosphenytoin, celecoxib, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, meloxicam, ibuprofen, tenoxicam, dronabinol, flurbiprofen, fluvastatin"
CYP2C9,*1/*7,BLOOD AND BLOOD FORMING ORGAN DRUGS,warfarin
CYP2C9,*1/*8,"CARDIOVASCULAR SYSTEM DRUGS, MUSCULO-SKELETAL SYSTEM DRUGS, NERVOUS SYSTEM DRUGS, BLOOD AND BLOOD FORMING ORGAN DRUGS, ALIMENTARY TRACT AND METABOLISM DRUGS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","fosphenytoin, warfarin, piroxicam, avatrombopag, phenytoin, siponimod, dronabinol, fluvastatin"
CYP2C9,*1/*9,BLOOD AND BLOOD FORMING ORGAN DRUGS,warfarin
CYP2C9,*1/*10,BLOOD AND BLOOD FORMING ORGAN DRUGS,warfarin
